Time,Day,Month,Year,B1,BG1,BG2,BN8,CGP2,CGW1,CGW2,H1,L1,L2,P1,P2,P3,S1,S2,S3,SE,W1,W2,W3
2000-02-18,18,2,2000,"1,133","1,074","1,338","1,108","1,288","3,357","2,111","1,103","1,336",795,"1,229","1,458","1,451","3,293","2,761","4,086","2,647","2,902","1,515","1,770"
2000-03-05,5,3,2000,"1,010","1,079","1,261","1,039","1,222","1,729","2,164","1,066","1,264",742,"1,219","1,488","1,426","3,245","2,613","2,681","2,606","2,604","1,428","1,774"
2000-03-21,21,3,2000,"1,081","1,261","1,307","1,228","1,389","2,314","2,189","1,013","1,707",733,"1,305","1,536","1,464","3,782","2,566","5,124","2,891","3,268","1,522","1,737"
2000-04-06,6,4,2000,"1,179","1,273","2,446","1,014","1,278","1,868","2,113","1,408","1,687",729,"1,700",971,"1,392","4,383","2,498","1,989","2,574","3,280","1,405","1,730"
2000-04-22,22,4,2000,"1,050","1,057","1,820","1,056","1,281","1,978","1,801","1,212","1,393",792,"1,548","1,343","1,213","4,356","2,011","3,710","2,210","2,809","1,268","1,664"
2000-05-08,8,5,2000,"1,036",998,"1,450","1,105","1,530","2,328","2,036","1,208","1,486",651,"1,273","1,321","1,310","4,433","2,419","3,089","2,444","2,777","1,177","1,715"
2000-05-24,24,5,2000,980,"1,037","1,155",810,"1,191","1,897","1,687","1,034","1,279",872,"1,172","1,285","1,210","3,183","2,644","2,474","2,273","3,002","1,297","1,491"
2000-06-09,9,6,2000,"1,076","1,037","1,251","1,103","1,188","4,153","2,005",916,"1,128",748,"1,269","1,219","1,321","2,523","2,562","3,419","2,805","2,368","1,639","1,433"
2000-06-25,25,6,2000,910,"1,057","1,119",891,"1,217","1,429","1,720",958,966,834,"1,152","1,229","1,166","3,043","2,091","2,278","2,306","2,618","1,095","1,591"
2000-07-11,11,7,2000,863,872,"1,086",950,"1,187","1,683","1,674",989,"1,024",850,"1,674","1,248","1,214","3,417","2,449","2,321","2,452","2,606","1,363","1,437"
2000-07-27,27,7,2000,899,911,995,825,"1,199","1,344","1,735",971,"1,179",797,"1,167","1,238","1,182","2,578","2,606","2,881","1,924","2,068","1,230","1,545"
2000-08-12,12,8,2000,864,788,967,872,"1,176","1,407","1,626",888,"1,189",776,"1,151","1,243","1,155","2,704","2,038","3,158","1,919","2,392","1,213","1,460"
2000-08-28,28,8,2000,932,875,"1,107",961,"1,062","1,855","1,803",978,"1,229",806,"1,187","1,371","1,175","2,462","2,163","3,501","2,023","2,232","1,275","1,329"
2000-09-13,13,9,2000,874,808,"1,020",890,"1,083","1,429","1,446",912,"1,173",750,"1,125","1,284","1,170","2,691","2,204","1,685","2,140","2,255","1,222","1,477"
2000-09-29,29,9,2000,958,873,"1,096",962,"1,103","1,431","1,745",895,"1,247",790,"1,200","1,331","1,155","2,326","1,893","3,356","1,998","2,175","1,237","1,554"
2000-10-15,15,10,2000,918,883,"1,028",867,"1,155","2,211","1,707",897,"1,224",782,"1,077","1,348","1,179","3,188","2,015","3,570","2,110","2,158","1,203","1,460"
2000-10-31,31,10,2000,926,852,965,839,"1,097","1,414","1,773",910,"1,357",719,"1,217","1,245","1,185","2,365","1,779","1,738","1,851","1,941","1,228","1,471"
2000-11-16,16,11,2000,"2,438","1,455","1,651","1,338","1,799","2,566","1,824","1,924","1,668",-23,"1,803","1,654","1,551","3,884","3,962","2,373","1,103","2,795","1,481","1,832"
2000-12-02,2,12,2000,"1,284",927,"1,708","1,247","2,500","3,516","2,460","1,808","2,613",752,"1,854","1,763","1,745","4,597","4,312","2,130","2,480","3,013","1,646","2,352"
2000-12-18,18,12,2000,"2,155","2,274","3,129","1,803","3,026","4,311","2,797","2,988","3,326","1,036","2,887","2,133","2,964","6,397","5,052","4,027","2,874","3,485","2,557","4,374"
2001-01-01,1,1,2001,"2,155","1,609","1,491","1,760","2,292","3,479","2,797","3,708","3,223",-198,"1,797","1,911","2,504","4,225","4,852","3,572","2,776","3,194","3,319","2,931"
2001-01-17,17,1,2001,"2,541","2,742","2,418","4,388","3,566","4,975","4,535","3,733","3,656",298,"3,771","2,296","3,203","6,408","5,057","3,534","3,399","4,513","4,073","5,352"
2001-02-02,2,2,2001,"3,125","3,193","3,224","4,622","3,209","5,205","3,358","3,536","1,352",472,"3,379","2,550","3,375","6,018","5,121","3,505","3,124","3,808","3,465","4,391"
2001-02-18,18,2,2001,"2,068","1,686","1,786","1,929","2,106","3,288","3,146","1,812","2,541",515,"2,530","2,130","2,401","4,496","3,805","3,244","3,470","3,877","2,613","2,773"
2001-03-06,6,3,2001,"2,218","1,961","1,959","1,770","2,240","3,664","2,739","2,285","2,910",493,"2,928","2,227","2,426","4,588","3,501","4,829","3,598","4,010","2,392","2,716"
2001-03-22,22,3,2001,"2,900","2,203","1,214","2,162","3,150","2,938","2,220","2,193","3,016","1,609","2,600","2,380","2,431","5,466","4,542","4,142","2,850","4,225","1,898","2,494"
2001-04-07,7,4,2001,"2,346","2,179","4,260","2,234","2,231","2,939","3,559","3,035","2,318","1,664","2,572","2,205","2,090","5,135","4,949","4,363","3,976","4,457","2,624","3,399"
2001-04-23,23,4,2001,"2,037","1,680","2,071","1,869","1,781","2,132","2,956","1,526","2,026",866,"2,314","2,523","2,335","5,002","4,741","4,364","3,305","3,970","1,956","2,335"
2001-05-09,9,5,2001,"1,316","1,373","2,250","1,547","1,811","4,413","2,437","1,237","2,012",870,"2,147","2,550","2,341","4,905","3,768","4,975","3,419","4,230","2,096","2,343"
2001-05-25,25,5,2001,614,"1,578","1,501","1,686","1,748","2,914","2,672","1,373","1,667",949,"1,620","2,050","1,590","4,505","3,887","4,001","4,007","3,260","1,454","1,556"
2001-06-10,10,6,2001,"1,351","1,101",589,"2,194","1,422","2,570","2,062","1,303","1,379","1,472","1,464","1,952","1,574","3,713","3,530","3,361",680,"2,722","1,573","2,368"
2001-06-26,26,6,2001,"1,277",610,"1,372","1,306","1,616","2,969","2,597","1,283","1,561","1,044","1,434","1,798","1,529","3,497","3,938","3,761","3,315","3,249","1,533","1,877"
2001-07-12,12,7,2001,"1,185","1,039","1,279","1,199","1,308","2,348","1,674","1,165","1,480","1,058","1,406","1,569","1,489","4,122","2,859","4,111","4,058","3,041","1,467","1,861"
2001-07-28,28,7,2001,"1,175","1,080","1,115",884,"1,330","2,265","1,938","1,158","1,436","1,029","1,340","1,471","1,323","3,299","3,086","4,219","3,052","2,488","1,371","1,752"
2001-08-13,13,8,2001,"1,288","1,044","1,304","1,221","1,252","2,377","2,184","1,176","1,325","1,046","1,447","1,619","1,404","3,331","2,959","2,634","3,495","2,672","1,538","1,863"
2001-08-29,29,8,2001,"1,192",719,"1,305","1,051","1,279","1,966","2,021","1,063","1,294",986,"1,345","1,476","1,329","3,063","2,274","3,036","3,442","2,685","1,415","1,706"
2001-09-14,14,9,2001,"1,151",948,"1,254","1,051","1,339","1,761","1,705","1,153","1,315",970,"1,350","1,502","1,316","2,707","2,500","3,996","3,595","2,464","1,345","1,605"
2001-09-30,30,9,2001,"1,202",972,"1,276","1,200","1,429","2,192","2,009","1,155","1,416","1,122","1,340","1,580","1,430","2,445","2,970","3,291","3,553","2,693","1,547","1,705"
